#Created with RMG on Sat Dec  6 22:46:19 2025
#pdos0: total, pdos1,pdos2,pdos3: magnetic rhoa#*_a, *_b, *_c: projected on lattice vectors a,b, c#    x[Angstrom]      E[eV]      pdos

   8.991930  -3.990000 4.300122e-02
   9.102942  -3.990000 4.257810e-02
   9.213953  -3.990000 4.201482e-02
   9.324965  -3.990000 4.165042e-02
   9.435976  -3.990000 4.174925e-02
   9.546988  -3.990000 4.224327e-02
   9.657999  -3.990000 4.291626e-02
   9.769011  -3.990000 4.339120e-02
   9.880022  -3.990000 4.353017e-02
   9.991034  -3.990000 4.343356e-02
  10.102045  -3.990000 4.334302e-02
  10.213057  -3.990000 4.354029e-02
  10.324068  -3.990000 4.403198e-02
  10.435080  -3.990000 4.470249e-02
  10.546091  -3.990000 4.529843e-02
  10.657103  -3.990000 4.562273e-02
  10.768114  -3.990000 4.571467e-02
  10.879126  -3.990000 4.569553e-02
  10.990137  -3.990000 4.577637e-02
  11.101149  -3.990000 4.602827e-02
  11.212160  -3.990000 4.638433e-02
  11.323172  -3.990000 4.670155e-02
  11.434183  -3.990000 4.682938e-02
  11.545195  -3.990000 4.680401e-02
  11.656206  -3.990000 4.673837e-02
  11.767218  -3.990000 4.684764e-02
  11.878229  -3.990000 4.717418e-02
  11.989241  -3.990000 4.762620e-02
  12.100252  -3.990000 4.799891e-02
  12.211264  -3.990000 4.806723e-02
  12.322275  -3.990000 4.790653e-02
  12.433287  -3.990000 4.767744e-02
  12.544298  -3.990000 4.767949e-02
  12.655310  -3.990000 4.808072e-02
  12.766321  -3.990000 4.877218e-02
  12.877332  -3.990000 4.952836e-02
  12.988344  -3.990000 5.001973e-02
  13.099355  -3.990000 5.016216e-02
  13.210367  -3.990000 5.009437e-02
  13.321378  -3.990000 5.004716e-02
  13.432390  -3.990000 5.019580e-02
  13.543401  -3.990000 5.046159e-02
  13.654413  -3.990000 5.068486e-02
  13.765424  -3.990000 5.063851e-02
  13.876436  -3.990000 5.029463e-02
  13.987447  -3.990000 4.978876e-02
  14.098459  -3.990000 4.936969e-02
  14.209470  -3.990000 4.925945e-02
  14.320482  -3.990000 4.948790e-02
  14.431493  -3.990000 4.995286e-02
  14.542505  -3.990000 5.039533e-02
  14.653516  -3.990000 5.067075e-02
  14.764528  -3.990000 5.076962e-02
  14.875539  -3.990000 5.084736e-02
  14.986551  -3.990000 5.107351e-02

   0.000000  -3.980000 6.557514e-02
   0.111011  -3.980000 6.590164e-02
   0.222023  -3.980000 6.604015e-02
   0.333034  -3.980000 6.597032e-02
   0.444046  -3.980000 6.577021e-02
   0.555057  -3.980000 6.555740e-02
   0.666069  -3.980000 6.546515e-02
   0.777080  -3.980000 6.540553e-02
   0.888092  -3.980000 6.528091e-02
   0.999103  -3.980000 6.485004e-02
   1.110115  -3.980000 6.400098e-02
   1.221126  -3.980000 6.290347e-02
   1.332138  -3.980000 6.189074e-02
   1.443149  -3.980000 6.135512e-02
   1.554161  -3.980000 6.136406e-02
   1.665172  -3.980000 6.173523e-02
   1.776184  -3.980000 6.210014e-02
   1.887195  -3.980000 6.209074e-02
   1.998207  -3.980000 6.177521e-02
   2.109218  -3.980000 6.133290e-02
   2.220230  -3.980000 6.110638e-02
   2.331241  -3.980000 6.127601e-02
   2.442253  -3.980000 6.175025e-02
   2.553264  -3.980000 6.238344e-02
   2.664276  -3.980000 6.281006e-02
   2.775287  -3.980000 6.290780e-02
   2.886299  -3.980000 6.274421e-02
   2.997310  -3.980000 6.245779e-02
   3.108322  -3.980000 6.218841e-02
   3.219333  -3.980000 6.182161e-02
   3.330345  -3.980000 6.121232e-02
   3.441356  -3.980000 6.023767e-02
   3.552368  -3.980000 5.899924e-02
   3.663379  -3.980000 5.784642e-02
   3.774391  -3.980000 5.716154e-02
   3.885402  -3.980000 5.713370e-02
   3.996414  -3.980000 5.767822e-02
   4.107425  -3.980000 5.847009e-02
   4.218437  -3.980000 5.912360e-02
   4.329448  -3.980000 5.946881e-02
   4.440459  -3.980000 5.953803e-02
   4.551471  -3.980000 5.957253e-02
   4.662482  -3.980000 5.971901e-02
   4.773494  -3.980000 5.992529e-02
   4.884505  -3.980000 6.008346e-02
   4.995517  -3.980000 5.993514e-02
   5.106528  -3.980000 5.944516e-02
   5.217540  -3.980000 5.876945e-02
   5.328551  -3.980000 5.811634e-02
   5.439563  -3.980000 5.776066e-02
   5.550574  -3.980000 5.763699e-02
   5.661586  -3.980000 5.757109e-02
   5.772597  -3.980000 5.730710e-02
   5.883609  -3.980000 5.666417e-02
   5.994620  -3.980000 5.584658e-02
   6.105632  -3.980000 5.516933e-02
   6.216643  -3.980000 5.496269e-02
   6.327655  -3.980000 5.530420e-02
   6.438666  -3.980000 5.596736e-02
   6.549678  -3.980000 5.660394e-02
   6.660689  -3.980000 5.690469e-02
   6.771701  -3.980000 5.688336e-02
   6.882712  -3.980000 5.675036e-02
   6.993724  -3.980000 5.680115e-02
   7.104735  -3.980000 5.714975e-02
   7.215747  -3.980000 5.770221e-02
   7.326758  -3.980000 5.827164e-02
   7.437770  -3.980000 5.859641e-02
   7.548781  -3.980000 5.866842e-02
   7.659793  -3.980000 5.859454e-02
   7.770804  -3.980000 5.857691e-02
   7.881816  -3.980000 5.870198e-02
   7.992827  -3.980000 5.883869e-02
   8.103839  -3.980000 5.884179e-02
   8.214850  -3.980000 5.852874e-02
   8.325862  -3.980000 5.796293e-02
   8.436873  -3.980000 5.733136e-02
   8.547884  -3.980000 5.691422e-02
   8.658896  -3.980000 5.684998e-02
   8.769907  -3.980000 5.700471e-02
   8.880919  -3.980000 5.712922e-02
   8.991930  -3.980000 5.685939e-02
   9.102942  -3.980000 5.620045e-02
   9.213953  -3.980000 5.537382e-02
   9.324965  -3.980000 5.482005e-02
   9.435976  -3.980000 5.487521e-02
   9.546988  -3.980000 5.548663e-02
   9.657999  -3.980000 5.639578e-02
   9.769011  -3.980000 5.710370e-02
   9.880022  -3.980000 5.740476e-02
   9.991034  -3.980000 5.737723e-02
  10.102045  -3.980000 5.731204e-02
  10.213057  -3.980000 5.754369e-02
  10.324068  -3.980000 5.809140e-02
  10.435080  -3.980000 5.884341e-02
  10.546091  -3.980000 5.950128e-02
  10.657103  -3.980000 5.984518e-02
  10.768114  -3.980000 5.991455e-02
  10.879126  -3.980000 5.986442e-02
  10.990137  -3.980000 5.992028e-02
  11.101149  -3.980000 6.013509e-02
  11.212160  -3.980000 6.043786e-02
  11.323172  -3.980000 6.067919e-02
  11.434183  -3.980000 6.073486e-02
  11.545195  -3.980000 6.064437e-02
  11.656206  -3.980000 6.052901e-02
  11.767218  -3.980000 6.063289e-02
  11.878229  -3.980000 6.100921e-02
  11.989241  -3.980000 6.158271e-02
  12.100252  -3.980000 6.209813e-02
  12.211264  -3.980000 6.228833e-02
  12.322275  -3.980000 6.223934e-02
  12.433287  -3.980000 6.213579e-02
  12.544298  -3.980000 6.230820e-02
  12.655310  -3.980000 6.290776e-02
  12.766321  -3.980000 6.379524e-02
  12.877332  -3.980000 6.469983e-02
  12.988344  -3.980000 6.524773e-02
